id_cliente,id_sucursal,id_producto,fecha_liquidacion,cod_zona,cant_cajafisicavta,cant_cajaunitvta,imp_netovta,cod_compania,desc_compania,desc_sucursal,cod_pais,fecha_creacion_cliente,cod_cliente,desc_marca,desc_formato,desc_categoria,cod_giro,cod_subgiro,desc_giro,desc_subgiro,fecha_proceso,cod_articulo_magic,dias_de_visita__c,periodo_de_visita__c,ultima_visita,new_segment,cod_ruta,cod_modulo,cod_sucursal,desc_articulo,mes
MX|0030|1588861,MX|0030|112,MX|0030|523439,2025-03-31,1165,1.0,0.15,45.0027,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-03-01
MX|0030|1588861,MX|0030|112,MX|0030|523439,2025-03-29,1165,1.0,0.15,55.8,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-03-01
MX|0030|1631550,MX|0030|112,MX|0030|516209,2025-02-17,1165,1.0,0.125,40.3809,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631550,SPORADE,0.625,BEBIDAS DEPORTIVAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,516209,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 625 ml 6 pack,2025-02-01
MX|0030|1631550,MX|0030|112,MX|0030|516209,2025-02-17,1165,1.0,0.125,40.3809,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631550,SPORADE,0.625,BEBIDAS DEPORTIVAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,516209,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,SPORADE PONCHE DE FRUTAS PET NO RETORNABLE 625 ml 6 pack,2025-02-01
MX|0030|1631550,MX|0030|112,MX|0030|517263,2025-05-26,1165,10.0,1.6,778.3652,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631550,VOLT,0.4,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517263,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR PET NO RETORNABLE 400 ML 12,2025-05-01
MX|0030|1631547,MX|0030|112,MX|0030|523538,2025-02-17,1165,1.0,0.2,63.0594,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,PULP,1.0,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523538,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,PULP MANGO PET NO RETORNABLE 1000 ML 6,2025-02-01
MX|0030|1588861,MX|0030|112,MX|0030|517146,2025-03-07,1165,1.0,0.16,61.9335,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588861,VOLT,0.4,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517146,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR PET NO RETORNABLE 400 ML 12,2025-03-01
MX|0030|1588838,MX|0030|112,MX|0030|523439,2025-02-18,1165,1.0,0.15,45.0027,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588838,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-02-01
MX|0030|1660508,MX|0030|112,MX|0030|517262,2025-07-11,1165,1.0,0.2365,147.3823,0030,AJEMEX,TULTITLAN 2,MX,20180221.0,1660508,VOLT,0.473,ENERGIZANTE,210,212,FARMACIAS O BOTICAS,FARMACIAS / BOTICAS INDEPENDIENTES,20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-07-01
MX|0030|1660510,MX|0030|112,MX|0030|523439,2025-02-17,1165,1.0,0.15,45.0027,0030,AJEMEX,TULTITLAN 2,MX,20180221.0,1660510,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-02-01
