id_cliente;cod_articulo_magic
0000|1638646;598801
0000|1813262;800071
0000|1598830;522713
0000|1639143;599111
0000|1638648;598901
0000|1602285;523125
0000|1599482;599111
0000|1639149;76643
0000|1592476;522577
0000|1596125;599111
0000|1590473;522512
0000|1593100;599212
0000|1708734;800060
0000|1594973;598801
0000|1837595;516209
0000|1593110;599111
0000|1594181;522856
0000|1705928;523595
0000|1722688;599111
0000|1722568;523439
0000|1797890;522856
0000|1705926;522633
0000|1638649;800071
0000|1770183;800060
0000|1600328;500264
0000|1603433;599837
0000|1599470;522632
0000|1601463;517263
0000|1600286;522713
0000|1579667;522632
0000|1639148;517146
0000|1837589;599590
0000|1593043;598901
0000|1517017;509826
0000|1587636;76643
0000|1596046;599837
0000|1602254;599837
0000|1604440;800060
0000|1524033;522856
0000|1597214;599212
0000|1813261;599837
0000|1638644;500264
0000|1590478;515614
0000|1595394;517263
0000|1591985;500354
0000|1813950;599876
0000|1705923;522856
0000|1595125;599837
0000|1812318;523439
0000|1837596;599832
0000|1600171;522632
0000|1595868;599837
0000|1837593;516209
0000|1591887;522355
0000|1601428;522713
0000|1813263;522856
0000|1597327;599837
0000|1740576;515614
0000|1837594;523538
0000|1829807;522355
0000|1604698;599837
0000|1597131;800060
0000|1602385;522355
0000|1837590;523125
0000|1796430;500264
0000|1705924;522352
0000|1639144;522632
0000|1638646;599228
0000|1813262;522634
0000|1598830;522512
0000|1639143;500264
0000|1638648;598801
0000|1602285;599590
0000|1599482;517140
0000|1639149;516209
0000|1592476;523519
0000|1596125;517140
0000|1590473;523595
0000|1593100;517263
0000|1708734;515614
0000|1594973;522632
0000|1837595;523278
0000|1593110;522512
0000|1594181;599876
0000|1705928;599590
0000|1722688;522633
0000|1722568;598801
0000|1797890;599212
0000|1705926;599876
0000|1638649;522355
0000|1770183;500264
0000|1600328;517140
0000|1603433;599111
0000|1599470;522576
0000|1601463;800060
0000|1600286;522353
0000|1579667;598801
0000|1639148;599111
0000|1837589;599876
0000|1593043;800060
0000|1517017;523278
0000|1587636;599212
0000|1596046;517140
0000|1602254;522512
0000|1604440;599212
0000|1524033;599837
0000|1597214;522355
0000|1813261;517263
0000|1638644;800060
0000|1590478;522354
0000|1595394;599837
0000|1591985;598901
0000|1813950;598801
0000|1705923;522352
0000|1595125;599587
0000|1812318;800071
0000|1837596;598801
0000|1600171;598801
0000|1595868;598901
0000|1837593;523278
0000|1591887;599587
0000|1601428;599837
0000|1813263;522353
0000|1597327;598801
0000|1740576;599876
0000|1837594;517297
0000|1829807;599837
0000|1604698;522442
0000|1597131;598901
0000|1602385;598901
0000|1837590;517140
0000|1796430;522352
0000|1705924;599228
0000|1639144;522633
0000|1638646;800058
0000|1813262;522633
0000|1598830;599837
0000|1639143;517263
0000|1638648;522856
0000|1602285;522634
0000|1599482;515614
0000|1639149;522577
0000|1592476;522352
0000|1596125;523125
0000|1590473;509826
0000|1593100;522795
0000|1708734;599587
0000|1594973;522353
0000|1837595;522354
0000|1593110;522352
0000|1594181;517140
0000|1705928;522713
0000|1722688;522632
0000|1722568;523278
0000|1797890;598901
0000|1705926;517262
0000|1638649;599212
0000|1770183;76643
0000|1600328;800071
0000|1603433;599212
0000|1599470;516209
0000|1601463;598901
0000|1600286;523439
0000|1579667;800060
0000|1639148;522856
0000|1837589;522354
0000|1593043;517263
0000|1517017;599837
0000|1587636;509826
0000|1596046;522353
0000|1602254;599228
0000|1604440;598901
0000|1524033;599590
0000|1597214;800071
0000|1813261;76643
0000|1638644;522353
0000|1590478;599587
0000|1595394;598901
0000|1591985;522795
0000|1813950;509826
0000|1705923;599590
