cod_articulo_magic,desc_articulo
3000392,JARABE TERMINADO BURST ENERGY MORA AZUL - MAQUILA 3B
3000465,JARABE TERMINADO CIFRUT CITRUS PUNCH SIN AZÚCAR - MAQUILA
3000591,JARABE TERMINADO PULP BEBIDA DE MANGO
3000592,JARABE TERMINADO BURST ENERGY GUARANÁ - MAQUILA 3B
44441,PREFORMA DE 30.6 GRS CRISTAL CON PCR CUELLO CORTO INYECCION PT
44938,TAPA PLASTICA BIG COLA ROJA CORTA GENERICA (TIPO CORVAGLIA) AJEMEX PT
45363,PREFORMA DE 31.50 GRS CRISTAL  CUELLO CORTO INYECCIÓN PRODUCTO TERMINADO
45624,PREFORMA DE 38 GRS CRISTAL  CUELLO ALASKA (7560) PT
46162,PREFORMA DE 21.2 GRS CRISTAL CON UV PT
44914,TAPA PLATICA AZUL REY CORTA 1881 AJEMEX PRODUCTO TERMINADO
45791,BASE DE BEBIDA BIG FRESH NARANJA BG-MX-031/2U PT
46152,PREFORMA DE 37.8 GRS CRISTAL CON UV CUELLO ALASKA (7560) PT
46218,BIG COLA 2.600 LTS X 6 CON PRECIO $12
44439,PREFORMA DE 30.6 GRS CRISTAL CUELLO CORTO INYECCION PT
44705,BASE DE BEBIDA JAMAICA PUNCH BF-MX-110247/4U PT
45064,EXHIBIDOR COLOR ROJO PRODUCTO TERMINADO
45490,BASE DE BEBIDA MANDARINA PUNCH BF-MX-120306/1U PT
46078,PREFORMA DE 56.3 GRS VERDE (5504) CUELLO CORTO PRODUCTO TERMINADO INYECCION
46164,PREFORMA DE 21.2 GRS CRISTAL PARA AGUA PT-INYECCION
44703,BASE DE BEBIDA JAMAICA PUNCH BF-MX-110301/1U PT
44934,TAPA PLASTICA AMARILLA CORTA GENERICA AJEMEX (TIPO CORVAGLIA) PT
45518,TAPA PLASTICA BLANCA CORTA GENERICA AJEMEX (TIPO CORVAGLIA) PT
46589,PREFORMA DE 21.2 GRS AZUL PT
46755,EDULCORANTE AZUCAR COD 240
46761,SABOR B:OOST COD20661
46763,COLORANTE COD20663
46765,CHAROLA B:OOST REGULAR (24 PZAS) COD2665
59920,BOBINA LAMINADA IMPRESA DE 43 CMS BOPP NAT 20 MICRAS/BOPP NAT 20 MICRAS BOTANAS PROVI GENERICA MP
60634,PREFORMA DE 18.1 GRS AZUL PARA AGUA (CORVAGLIA) PT
594602,GREAT VALUE AGUA SIN GAS PET NO RETORNABLE 1000 ML 12 PACK
595906,NEW MIX PALOMA LATA 350 ML 24 PACK CON CHAROLA
595910,PALOMA MIX DE TEQUILA LOS JEFES. 473 ML  15 PACK.
597301,SUPER VALUE NARANJA PET NO RETORNABLE 3000 ML 6 PACK
597431,BUXTÓN AGUA SIN GAS PET NO RETORNABLE 1500 ML 12 PACK
597702,BARRILITOS DURAZNO PET NO RETORNABLE 750 ML 24 PACK
597755,BARRILITOS PONCHE PET NO RETORNABLE 750 ML 24 PACK
597900,MY BRAND COLA PET NO RETORNABLE 3000 ML 6 PACK
598901,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6
598977,SPORADE MORA PET NO RETORNABLE 400 ML 12
599147,FREELIFE  LATA 355 ML 6
599148,FREELIFE MANZANA LATA 355 ML 6
599162,BIG COLA LATA 473 ML 12
599476,BARRILITOS TORONJA PET NO RETORNABLE 750 ML 24
599505,SPORADE NARANJA PET NO RETORNABLE 625 ML 6
599510,BIG COLA PET NO RETORNABLE 360 ML 6
599578,URAKAN CITRIX LATA 355 ML 15
599580,FIRST NARANJA PET NO RETORNABLE 620 ML 12
599586,SPORADE UVA PET NO RETORNABLE 1000 ML 6
599609,Los Jefes PALOMA LATA 473 ML 12
599648,SPORADE UVA PET NO RETORNABLE 400 ML 12
599737,SPORADE PONCHE DE FRUTA PET NO RETORNABLE 625 ML 24 EXPORT
599781,SPORADE NARANJA PET NO RETORNABLE  SPORTCAP 1000 ML 6
599786,SPORADE PONCHE DE FRUTA PET NO RETORNABLE  SPORTCAP 625 ML 6
599787,SPORADE MORA PET NO RETORNABLE  SPORTCAP 625 ML 6
599837,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 12"
599880,"BIG CITRUS NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 911 ML 12"
599911,BIG COLA PET NO RETORNABLE 911 ML 12
599960,VOLT FRUTOS DEL BOSQUE PET NO RETORNABLE 400 ML 12
7187,PREFORMA DE 58 GRS CRISTAL PT-INYECCION
