id_cliente;cod_articulo_magic
0030|1549729;599565
0030|1551314;598901
0030|1551544;522354
0030|1551554;517146
0030|1549730;523438
0030|1551545;523439
0030|1551550;523125
0030|1590572;523125
0030|1549984;522354
0030|1549727;517263
0030|1551557;599837
0030|1551337;800058
0030|1549705;599837
0030|1783386;522634
0030|1551548;523439
0030|1549701;522512
0030|1551539;500264
0030|1549711;800058
0030|1551304;599876
0030|1627664;622631
0030|1549943;522856
0030|1549718;522442
0030|1796574;622631
0030|1549952;522355
0030|1549735;598901
0030|1550083;800054
0030|1705570;523463
0030|1549722;622631
0030|1625338;599218
0030|1551546;599111
0030|1628873;599218
0030|1550076;522352
0030|1549729;800060
0030|1551314;522355
0030|1551544;599590
0030|1551554;517262
0030|1549730;522632
0030|1551545;517297
0030|1551550;800071
0030|1590572;523437
0030|1549984;523125
0030|1549727;800054
0030|1551557;522512
0030|1551337;522353
0030|1549705;522512
0030|1783386;622631
0030|1551548;523595
0030|1549701;517297
0030|1551539;599228
0030|1549711;509826
0030|1551304;522442
0030|1627664;523125
0030|1549943;599837
0030|1549718;800069
0030|1796574;800060
0030|1549952;522442
0030|1549735;599212
0030|1550083;522355
0030|1705570;517262
0030|1549722;522633
0030|1625338;522634
0030|1551546;598901
0030|1628873;800058
0030|1550076;522634
0030|1549729;599831
0030|1551314;517146
0030|1551544;599587
0030|1551554;599590
0030|1549730;522354
0030|1551545;522713
0030|1551550;523437
0030|1590572;800071
0030|1549984;800071
0030|1549727;599590
0030|1551557;517297
0030|1551337;599837
0030|1549705;517297
0030|1783386;522633
0030|1551548;599876
0030|1549701;522442
0030|1551539;500354
0030|1549711;599218
0030|1551304;599212
0030|1627664;523278
0030|1549943;517146
0030|1549718;800058
0030|1796574;599212
0030|1549952;800058
0030|1549735;522352
0030|1550083;598901
0030|1705570;522352
0030|1549722;517263
0030|1625338;622631
0030|1551546;522633
0030|1628873;800054
0030|1550076;622631
0030|1549729;509600
0030|1551314;522713
0030|1551544;599832
0030|1551554;599587
0030|1549730;517263
0030|1551545;599590
0030|1551550;523278
0030|1590572;523278
0030|1549984;523437
0030|1549727;599587
0030|1551557;522442
0030|1551337;522856
0030|1549705;522442
0030|1783386;522632
0030|1551548;522352
0030|1549701;509826
0030|1551539;76643
0030|1549711;599228
0030|1551304;523595
0030|1627664;800071
0030|1549943;522633
0030|1549718;599876
0030|1796574;522632
0030|1549952;500264
0030|1549735;517297
0030|1550083;522352
0030|1705570;800069
0030|1549722;523438
0030|1625338;500354
0030|1551546;522355
0030|1628873;599111
0030|1550076;522355
0030|1549729;76643
0030|1551314;522632
0030|1551544;599831
0030|1551554;598901
0030|1549730;522353
0030|1551545;599587
0030|1551550;517263
0030|1590572;523538
0030|1549984;523278
0030|1549727;522856
0030|1551557;509826
0030|1551337;599831
0030|1549705;509826
0030|1783386;599876
0030|1551548;523438
0030|1549701;800069
0030|1551539;599832
0030|1549711;522354
0030|1551304;523125
0030|1627664;523437
0030|1549943;800069
0030|1549718;523439
0030|1796574;800058
0030|1549952;517297
0030|1549735;522795
0030|1550083;800069
0030|1705570;517146
0030|1549722;522353
0030|1625338;500330
0030|1551546;800069
0030|1628873;523439
0030|1550076;599876
0030|1549729;522373
0030|1551314;522634
0030|1551544;76643
0030|1551554;522353
0030|1549730;622631
0030|1551545;522632
0030|1551550;517297
0030|1590572;522353
0030|1549984;523538
0030|1549727;522442
0030|1551557;800069
0030|1551337;509600
0030|1549705;800069
0030|1783386;599212
0030|1551548;517146
0030|1549701;500330
0030|1551539;599831
0030|1549711;522355
0030|1551304;523538
0030|1627664;523538
0030|1549943;599111
0030|1549718;516209
0030|1796574;500354
0030|1549952;598801
0030|1549735;523438
0030|1550083;509826
0030|1705570;800060
0030|1549722;523125
